entity_name,year,unr,gdp,cpi,inr,exr,d_gdp,d_cpi,d_unr,v_exr,v_inr
Dominican Republic,2014,8.538,7.111,1.582,6.25,43.54967261904762,2.176,-2.2939999999999996,-0.6579999999999995,0.04199521587707977,0
Dominican Republic,2015,7.328,6.988,2.344,5,45.04549907407405,-0.12299999999999933,0.7619999999999998,-1.21,0.03434759356542649,-0.19999999999999996
Dominican Republic,2016,7.08,6.72,1.695,5.5,46.06444393939392,-0.2680000000000007,-0.6489999999999998,-0.24800000000000022,0.02262034800955992,0.10000000000000009
Dominican Republic,2017,5.509,3.934,4.204,5.25,47.5343581962482,-2.7859999999999996,2.5089999999999995,-1.5709999999999997,0.03190995334250024,-0.045454545454545414
Dominican Republic,2018,5.656,7.104,1.171,5.5,49.50999285714288,3.17,-3.0329999999999995,0.14699999999999935,0.04156224541284792,0.04761904761904767
Dominican Republic,2019,6.167,4.893,3.656,4.5,51.29485833333332,-2.2110000000000003,2.4850000000000003,0.5110000000000001,0.036050610658347804,-0.18181818181818177
Dominican Republic,2020,5.829,-7.929,5.554,3,56.52453333333335,-12.822,1.8980000000000001,-0.3380000000000001,0.10195320096247529,-0.33333333333333337
Dominican Republic,2021,7.384,14.012,8.496,3.5,57.22111666666668,21.941000000000003,2.942,1.5550000000000006,0.012323557440544919,0.16666666666666674
Dominican Republic,2022,5.293,5.238,7.827,8.5,55.14099166666668,-8.774000000000001,-0.6690000000000005,-2.091,-0.0363524013716382,1.4285714285714284
Dominican Republic,2023,5.305,2.192,3.569,7,56.1576,-3.0460000000000003,-4.258,0.011999999999999567,0.018436526123411623,-0.17647058823529416
Dominican Republic,2024,5.148,4.952,3.348,6,59.56513333333332,2.76,-0.22100000000000009,-0.15700000000000003,0.06067804417092826,-0.1428571428571429
Mexico,2003,3.4,1.186,3.977,6.12,10.78901916666666,-3.766,0.629,-1.7479999999999998,-0.818870225534625,0.020000000000000018
Mexico,2004,3.919,3.565,5.191,8.75,11.28596666666667,2.379,1.214,0.5190000000000001,0.046060489125402615,0.4297385620915033
Mexico,2005,3.478,2.113,3.333,8.27,10.89789166666667,-1.452,-1.8579999999999997,-0.44099999999999984,-0.03438562344386398,-0.05485714285714294
Mexico,2006,3.566,4.805,4.053,7.02,10.89924166666666,2.6919999999999997,0.7199999999999998,0.08799999999999963,1.2387717195960768e-4,-0.15114873035066512
Mexico,2007,3.653,2.078,3.759,7.57,10.92819166666666,-2.727,-0.29400000000000004,0.08700000000000019,0.0026561480959301775,0.07834757834757844
Mexico,2008,3.904,0.943,6.528,8.25,11.12971666666667,-1.1349999999999998,2.7689999999999997,0.2509999999999999,0.018440836887470224,0.08982826948480849
Mexico,2009,5.384,-6.295,3.574,4.5,13.513475,-7.2379999999999995,-2.9539999999999997,1.4800000000000004,0.21417960624933507,-0.4545454545454546
Mexico,2010,5.309,4.971,4.402,4.5,12.63600833333333,11.266,0.8280000000000003,-0.07500000000000018,-0.06493271839158099,0
Mexico,2011,5.19,3.444,3.819,4.5,12.423325,-1.5270000000000001,-0.5830000000000002,-0.11899999999999977,-0.01683152841647617,0
Mexico,2012,4.931,3.553,3.568,4.5,13.16945833333333,0.10899999999999999,-0.2509999999999999,-0.25900000000000034,0.06005906899588709,0
Mexico,2013,4.94,0.852,3.974,3.5,12.77199166666667,-2.701,0.40600000000000014,0.009000000000000341,-0.030180942648235454,-0.2222222222222222
Mexico,2014,4.835,2.504,4.081,3,13.29245,1.6520000000000001,0.1070000000000002,-0.10500000000000043,0.04074997439057704,-0.1428571428571429
Mexico,2015,4.346,2.702,2.131,3.25,15.84826666666666,0.19799999999999995,-1.9500000000000006,-0.4889999999999999,0.19227581571995067,0.08333333333333326
Mexico,2016,3.874,1.772,3.36,5.75,18.66405833333334,-0.9299999999999999,1.229,-0.472,0.17767190102808383,0.7692307692307692
Mexico,2017,3.419,1.872,6.773,7.25,18.92651666666666,0.10000000000000009,3.413,-0.45500000000000007,0.014062232803065067,0.26086956521739135
Mexico,2018,3.321,1.972,4.831,8.25,19.24434166666666,0.09999999999999987,-1.9419999999999993,-0.097999999999999865,0.01679257760936803,0.13793103448275867
Mexico,2019,3.489,-0.393,2.829,7.25,19.26363333333334,-2.365,-2.0020000000000002,0.1679999999999997,0.0010024591644044456,-0.12121212121212122
Mexico,2020,4.407,-8.354,3.15,4.25,21.48560833333334,-7.960999999999999,0.32099999999999973,0.9180000000000001,0.11534558208991386,-0.4137931034482759
Mexico,2021,4.141,6.048,7.355,5.5,20.27240833333333,14.402,4.205,-0.266,-0.05646570398092088,0.2941176470588236
Mexico,2022,3.274,3.711,7.817,10.5,20.12735,-2.337,0.46199999999999974,-0.867,-0.0071554563694741224,0.9090909090909092
Mexico,2023,2.797,3.295,4.661,11.25,17.75871666666666,-0.4159999999999999,-3.1560000000000006,-0.47699999999999987,-0.11768232446563198,0.0714285714285714
Mexico,2024,2.668,1.454,4.212,10,18.30485833333333,-1.841,-0.44899999999999984,-0.129,0.030753442206315595,-0.11111111111111116
